Phase,Stack,Mode,Profile,Dataset,BookCount,Scenario,Status,ProcessRuns,PassSamples,FailedSamples,UnsupportedSamples,cache_database_bytes_count,cache_database_bytes_max,cache_database_bytes_mean,cache_database_bytes_median,cache_database_bytes_min,cache_database_bytes_p90,cache_database_bytes_stdev,cumulative_dirty_screen_equivalents_count,cumulative_dirty_screen_equivalents_max,cumulative_dirty_screen_equivalents_mean,cumulative_dirty_screen_equivalents_median,cumulative_dirty_screen_equivalents_min,cumulative_dirty_screen_equivalents_p90,cumulative_dirty_screen_equivalents_stdev,forced_gc_live_heap_kb_count,forced_gc_live_heap_kb_max,forced_gc_live_heap_kb_mean,forced_gc_live_heap_kb_median,forced_gc_live_heap_kb_min,forced_gc_live_heap_kb_p90,forced_gc_live_heap_kb_stdev,full_refreshes_count,full_refreshes_max,full_refreshes_mean,full_refreshes_median,full_refreshes_min,full_refreshes_p90,full_refreshes_stdev,largest_single_dirty_pct_count,largest_single_dirty_pct_max,largest_single_dirty_pct_mean,largest_single_dirty_pct_median,largest_single_dirty_pct_min,largest_single_dirty_pct_p90,largest_single_dirty_pct_stdev,lua_heap_delta_kb_count,lua_heap_delta_kb_max,lua_heap_delta_kb_mean,lua_heap_delta_kb_median,lua_heap_delta_kb_min,lua_heap_delta_kb_p90,lua_heap_delta_kb_stdev,natural_lua_heap_kb_count,natural_lua_heap_kb_max,natural_lua_heap_kb_mean,natural_lua_heap_kb_median,natural_lua_heap_kb_min,natural_lua_heap_kb_p90,natural_lua_heap_kb_stdev,partial_refreshes_count,partial_refreshes_max,partial_refreshes_mean,partial_refreshes_median,partial_refreshes_min,partial_refreshes_p90,partial_refreshes_stdev,refresh_count_count,refresh_count_max,refresh_count_mean,refresh_count_median,refresh_count_min,refresh_count_p90,refresh_count_stdev,rss_kb_count,rss_kb_max,rss_kb_mean,rss_kb_median,rss_kb_min,rss_kb_p90,rss_kb_stdev,set_dirty_calls_count,set_dirty_calls_max,set_dirty_calls_mean,set_dirty_calls_median,set_dirty_calls_min,set_dirty_calls_p90,set_dirty_calls_stdev,total_bytes_count,total_bytes_max,total_bytes_mean,total_bytes_median,total_bytes_min,total_bytes_p90,total_bytes_stdev,unique_dirty_pct_count,unique_dirty_pct_max,unique_dirty_pct_mean,unique_dirty_pct_median,unique_dirty_pct_min,unique_dirty_pct_p90,unique_dirty_pct_stdev,wall_time_ms_count,wall_time_ms_max,wall_time_ms_mean,wall_time_ms_median,wall_time_ms_min,wall_time_ms_p90,wall_time_ms_stdev
phase1,A_stock,first_run_cold,startup,hierarchical,2000,home_to_library,PASS,3,3,0,0,,,,,,,,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,435.861328,396.532878,383.003906,370.733398,425.289844,34.607609,3,8805.745117,8729.483724,8698.021484,8684.684570,8784.200391,66.380105,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,173808.000000,168592.000000,166304.000000,165664.000000,172307.200000,4528.508805,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,3,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,13.935000,13.606000,13.664000,13.219000,13.880800,0.361507
phase1,A_stock,first_run_cold,startup,hierarchical,2000,library_first_render,PASS,3,3,0,0,,,,,,,,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,313.085938,307.211589,307.752930,300.795898,312.019336,6.162877,3,9125.901367,9043.765625,9012.844727,8992.550781,9103.290039,71.851730,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,174768.000000,174314.666667,174304.000000,173872.000000,174675.200000,448.095228,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,3,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,13.183000,12.945667,13.084000,12.570000,13.163200,0.329081
phase1,A_stock,steady_state_cold,startup,hierarchical,2000,home_to_library,PASS,3,3,0,0,,,,,,,,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,356.050781,339.880534,334.568359,329.022461,351.754297,14.275746,3,8650.385742,8575.149089,8594.896484,8480.165039,8639.287891,86.811530,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,171904.000000,164960.000000,162928.000000,160048.000000,170108.800000,6183.684339,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,3,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,12.233000,11.404333,11.897000,10.083000,12.165800,1.156575
phase1,A_stock,steady_state_cold,startup,hierarchical,2000,library_first_render,PASS,3,3,0,0,,,,,,,,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,359.294922,326.609701,315.882812,304.651367,350.612500,28.857912,3,8973.338867,8909.030924,8907.223633,8846.530273,8960.115820,63.423612,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,171936.000000,170693.333333,171648.000000,168496.000000,171878.400000,1908.387103,3,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,3,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,14.230000,12.572667,12.293000,11.195000,13.842600,1.536706
phase1,A_stock,warm,synthetic,flat,2000,change_sort_mode,PASS,1,10,0,0,,,,,,,,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,9530.265625,921.021484,9014.448242,-18385.270508,9518.326563,11105.007268,10,40931.934570,29718.295215,31445.650391,22239.057617,40714.886035,7317.480951,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,265552.000000,265526.400000,265520.000000,265520.000000,265552.000000,13.492385,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,189.257000,149.678000,136.885000,117.823000,184.406000,27.674194
phase1,A_stock,warm,synthetic,flat,2000,close_book,PASS,1,10,0,0,,,,,,,,10,3.098301,3.098301,3.098301,3.098301,3.098301,0.000000,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,5742.053711,3725.349023,5576.606934,-725.006836,5679.006250,3040.820299,10,25647.823242,23453.932129,24822.545410,19525.768555,25371.852832,2610.246552,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,10,276896.000000,276859.200000,276864.000000,276784.000000,276896.000000,41.346235,10,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,89.526000,73.517400,69.840000,64.742000,85.705500,9.061873
phase1,A_stock,warm,synthetic,flat,2000,close_quick_settings,PASS,1,10,0,0,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,,,,,,,,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,176.307617,68.609473,48.946289,31.296875,114.340332,45.021112,10,26936.615234,25672.322363,25710.135742,24248.882812,26704.540918,891.023667,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,10,276896.000000,276896.000000,276896.000000,276896.000000,276896.000000,0.000000,10,3.000000,3.000000,3.000000,3.000000,3.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,9.950000,8.413400,8.220000,7.406000,9.144500,0.751971
phase1,A_stock,warm,synthetic,flat,2000,home_to_library,PASS,1,10,0,0,,,,,,,,10,14.000000,8.000000,7.500000,2.000000,13.100000,4.320494,,,,,,,,10,14.000000,8.000000,7.500000,2.000000,13.100000,4.320494,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,6782.736328,1546.990918,5689.706055,-36730.383789,6298.140820,13456.187461,10,70081.875000,51149.744043,51043.039062,33606.054688,64918.276172,11096.912536,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,14.000000,8.000000,7.500000,2.000000,13.100000,4.320494,10,258240.000000,243532.800000,247264.000000,221632.000000,258240.000000,15423.805992,10,14.000000,8.000000,7.500000,2.000000,13.100000,4.320494,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,166.281000,113.426900,105.137000,73.722000,152.840400,30.590005
phase1,A_stock,warm,synthetic,flat,2000,library_first_render,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,5550.196289,-1763.581738,5181.505859,-38586.142578,5505.649805,15372.558238,10,43146.278320,32631.503516,32692.413086,21999.674805,42996.525879,7821.234220,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,265392.000000,264676.800000,265392.000000,258240.000000,265392.000000,2261.660983,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,112.512000,75.169900,66.575000,63.681000,108.359400,18.584286
phase1,A_stock,warm,synthetic,flat,2000,library_folder_back,PASS,1,10,0,0,,,,,,,,10,1.098301,1.098301,1.098301,1.098301,1.098301,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,5374.906250,1461.678125,5129.634766,-10829.561523,5343.018652,6249.124124,10,33139.910156,27368.912109,27824.082520,22337.709961,33063.641309,4183.073273,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,10,265520.000000,265520.000000,265520.000000,265520.000000,265520.000000,0.000000,10,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,92.736000,70.510000,63.084000,58.956000,92.231100,13.822003
