Phase,Stack,Mode,Profile,Dataset,BookCount,Scenario,Status,ProcessRuns,PassSamples,FailedSamples,UnsupportedSamples,wall_time_ms_count,wall_time_ms_median,wall_time_ms_p10,wall_time_ms_p90,wall_time_ms_mean,wall_time_ms_stdev,wall_time_ms_min,wall_time_ms_max,natural_lua_heap_kb_count,natural_lua_heap_kb_median,natural_lua_heap_kb_p10,natural_lua_heap_kb_p90,natural_lua_heap_kb_mean,natural_lua_heap_kb_stdev,natural_lua_heap_kb_min,natural_lua_heap_kb_max,lua_heap_delta_kb_count,lua_heap_delta_kb_median,lua_heap_delta_kb_p10,lua_heap_delta_kb_p90,lua_heap_delta_kb_mean,lua_heap_delta_kb_stdev,lua_heap_delta_kb_min,lua_heap_delta_kb_max,rss_kb_count,rss_kb_median,rss_kb_p10,rss_kb_p90,rss_kb_mean,rss_kb_stdev,rss_kb_min,rss_kb_max,set_dirty_calls_count,set_dirty_calls_median,set_dirty_calls_p10,set_dirty_calls_p90,set_dirty_calls_mean,set_dirty_calls_stdev,set_dirty_calls_min,set_dirty_calls_max,refresh_count_count,refresh_count_median,refresh_count_p10,refresh_count_p90,refresh_count_mean,refresh_count_stdev,refresh_count_min,refresh_count_max,full_refreshes_count,full_refreshes_median,full_refreshes_p10,full_refreshes_p90,full_refreshes_mean,full_refreshes_stdev,full_refreshes_min,full_refreshes_max,partial_refreshes_count,partial_refreshes_median,partial_refreshes_p10,partial_refreshes_p90,partial_refreshes_mean,partial_refreshes_stdev,partial_refreshes_min,partial_refreshes_max,unique_dirty_pct_count,unique_dirty_pct_median,unique_dirty_pct_p10,unique_dirty_pct_p90,unique_dirty_pct_mean,unique_dirty_pct_stdev,unique_dirty_pct_min,unique_dirty_pct_max,cumulative_dirty_screen_equivalents_count,cumulative_dirty_screen_equivalents_median,cumulative_dirty_screen_equivalents_p10,cumulative_dirty_screen_equivalents_p90,cumulative_dirty_screen_equivalents_mean,cumulative_dirty_screen_equivalents_stdev,cumulative_dirty_screen_equivalents_min,cumulative_dirty_screen_equivalents_max,largest_single_dirty_pct_count,largest_single_dirty_pct_median,largest_single_dirty_pct_p10,largest_single_dirty_pct_p90,largest_single_dirty_pct_mean,largest_single_dirty_pct_stdev,largest_single_dirty_pct_min,largest_single_dirty_pct_max,visible_count_before_count,visible_count_before_median,visible_count_before_p10,visible_count_before_p90,visible_count_before_mean,visible_count_before_stdev,visible_count_before_min,visible_count_before_max,visible_count_after_count,visible_count_after_median,visible_count_after_p10,visible_count_after_p90,visible_count_after_mean,visible_count_after_stdev,visible_count_after_min,visible_count_after_max,total_pages_count,total_pages_median,total_pages_p10,total_pages_p90,total_pages_mean,total_pages_stdev,total_pages_min,total_pages_max,forced_gc_live_heap_kb_count,forced_gc_live_heap_kb_median,forced_gc_live_heap_kb_p10,forced_gc_live_heap_kb_p90,forced_gc_live_heap_kb_mean,forced_gc_live_heap_kb_stdev,forced_gc_live_heap_kb_min,forced_gc_live_heap_kb_max
phase1,A_stock,paging,paging,flat,2000,library_cached_paging,PASS,3,90,0,0,90,115.8095,114.2649,125.29560000000001,117.5412,4.325251786396988,113.07,129.635,90,12603.192871094001,11267.304882813001,13884.874414063,12601.566265191099,943.4257897874568,11201.038085938,14045.521484375,90,651.85888671875,-2633.472265625,696.73125,2.004806857638889,1334.2255717199967,-2846.6474609375,734.9189453125,90,196640.0,190832.0,197632.0,195034.84444444443,3013.3577222174335,190816.0,197632.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,201.0,201.0,201.0,201.0,0.0,201.0,201.0,,,,,,,,
phase1,A_stock,paging,paging,flat,2000,library_sequential_paging,PASS,3,90,0,0,90,121.32499999999999,117.97540000000001,134.4066,123.3098111111111,6.375191195889329,114.579,143.138,90,12232.2802734375,11115.590429688,13323.3625976562,12226.8475477431,789.6935382841629,11008.596679688,13526.533203125,90,548.52587890625,-2208.5529296875,590.9655273437501,3.820171440972222,1120.9378211897572,-2332.541015625,651.841796875,90,187968.0,177280.0,188752.0,184659.73333333334,5257.175344445645,177280.0,188752.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,201.0,201.0,201.0,201.0,0.0,201.0,201.0,,,,,,,,
phase1,A_stock,paging,paging,flat,2000,paging_probe_step_2_to_3,PASS,3,3,0,0,3,122.557,122.52180000000001,125.19619999999999,123.642,1.9175064537049098,122.513,125.856,3,13650.801757812,13554.0501953128,13689.3345703128,13626.543945312667,87.12345258728504,13529.862304688,13698.967773438,3,600.1259765625,595.3001953125,677.2228515625,630.2389322916666,57.46044360963621,594.09375,696.4970703125,3,196368.0,190198.40000000002,196867.2,194005.33333333334,4643.152951748772,188656.0,196992.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,3,10.0,10.0,10.0,10.0,0.0,10.0,10.0,3,10.0,10.0,10.0,10.0,0.0,10.0,10.0,3,201.0,201.0,201.0,201.0,0.0,201.0,201.0,,,,,,,,
phase1,A_stock,paging,paging,hierarchical,2000,library_cached_paging,PASS,3,90,0,0,90,115.95949999999999,114.3776,123.13850000000001,117.17951111111113,3.393893793881126,112.126,127.026,90,10377.524902343499,9054.089648437499,11718.4393554688,10394.496885850695,958.9744430955819,8962.5224609375,11976.780273438,90,648.4296875,-2677.128515625,718.6324218750001,-1.4745225694444444,1353.3578084507742,-2911.8515625,749.748046875,90,195136.0,192894.40000000002,195392.0,194471.2888888889,1132.275994111616,192848.0,195392.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,17.0,17.0,17.0,17.0,0.0,17.0,17.0,,,,,,,,
phase1,A_stock,paging,paging,hierarchical,2000,library_sequential_paging,PASS,3,48,0,0,48,120.375,118.24770000000001,129.5943,121.91079166666667,4.231036877889004,117.072,132.7,48,10036.015136719001,8923.0396484375,11241.3575195309,10115.755737304624,849.6721944181049,8792.6123046875,11683.887695312,48,551.4560546875,-2275.45849609375,604.006640625,1.8682454427083333,1161.2012479844936,-2731.916015625,628.06640625,48,180832.0,179088.0,184608.0,181505.66666666666,2330.8885834918156,179040.0,184608.0,48,1.0,1.0,1.0,1.0,0.0,1.0,1.0,48,1.0,1.0,1.0,1.0,0.0,1.0,1.0,48,1.0,1.0,1.0,1.0,0.0,1.0,1.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,100.0,100.0,100.0,100.0,0.0,100.0,100.0,48,1.0,1.0,1.0,1.0,0.0,1.0,1.0,48,100.0,100.0,100.0,100.0,0.0,100.0,100.0,48,10.0,10.0,10.0,10.0,0.0,10.0,10.0,48,10.0,10.0,10.0,9.75,0.9784921095801633,6.0,10.0,48,17.0,17.0,17.0,17.0,0.0,17.0,17.0,,,,,,,,
phase1,A_stock,paging,paging,hierarchical,2000,paging_probe_step_2_to_3,PASS,3,3,0,0,3,117.188,116.17440000000002,118.5096,117.31633333333333,1.4637254979446552,115.921,118.84,3,9706.5078125,9703.755468750001,9714.4875,9708.685872395834,6.9676952390642315,9703.0673828125,9716.482421875,3,663.3876953125,656.7478515625,694.2298828124999,673.4720052083334,25.001201645264448,655.087890625,701.9404296875,3,192032.0,191072.0,194092.8,192490.66666666666,1929.3328726099428,190832.0,194608.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,3,10.0,10.0,10.0,10.0,0.0,10.0,10.0,3,10.0,10.0,10.0,10.0,0.0,10.0,10.0,3,17.0,17.0,17.0,17.0,0.0,17.0,17.0,,,,,,,,
phase1,B_bookshelf,paging,paging,flat,2000,bookshelf_cached_paging,PASS,3,90,0,0,90,975.1089999999999,972.8024,978.3663000000001,975.5084555555555,2.754476740867497,971.043,986.577,90,29680.111328125,21425.7635742192,40376.6796875,30528.48263888889,6928.005098277243,19681.786132812,43156.958007812,90,884.2060546875,801.3160156250001,937.26650390625,-336.8257269965278,4284.8717548709965,-22561.625,964.6103515625,90,234144.0,233024.0,235296.0,234128.53333333333,914.1608935662489,233024.0,235296.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,64.563106796117,64.563106796117,64.563106796117,64.563106796117,0.0,64.563106796117,64.563106796117,90,1.2102970748107,1.2102970748107,1.2102970748107,1.2102970748107,0.0,1.2102970748107,1.2102970748107,90,64.563106796117,64.563106796117,64.563106796117,64.563106796117,0.0,64.563106796117,64.563106796117,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,250.0,250.0,250.0,250.0,0.0,250.0,250.0,,,,,,,,
phase1,B_bookshelf,paging,paging,flat,2000,bookshelf_cached_paging_anim_off,PASS,3,90,0,0,90,112.64750000000001,111.38470000000001,114.85940000000001,113.06776666666667,1.9387074986104889,109.895,121.58,90,31707.206542968503,22361.977246093702,40289.97851562459,31526.89973958332,6588.509146570395,19974.146484375,42934.454101562,90,850.298828125,775.36435546875,911.9341796875001,67.80384114583333,3663.2551587768194,-20586.26953125,1009.9111328125,90,234144.0,233024.0,235296.0,234154.66666666666,932.7672975939252,233024.0,235296.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,64.563106796117,64.563106796117,64.563106796117,64.563106796117,0.0,64.563106796117,64.563106796117,90,0.64563106796117,0.64563106796117,0.64563106796117,0.64563106796117,0.0,0.64563106796117,0.64563106796117,90,64.563106796117,64.563106796117,64.563106796117,64.563106796117,0.0,64.563106796117,64.563106796117,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,250.0,250.0,250.0,250.0,0.0,250.0,250.0,,,,,,,,
phase1,B_bookshelf,paging,paging,flat,2000,bookshelf_sequential_paging,PASS,3,90,0,0,90,1121.4924999999998,1114.7581,1133.2675000000002,1114.0564222222222,34.90730555293251,982.662,1145.054,90,29814.356445313,20363.6077148442,39529.1504882808,29867.542013888957,7075.338624718662,17592.448242188,42017.515625,90,3155.7939453125,-15169.232910155799,3707.821679687501,275.49651692709443,7076.042551248807,-21043.1875,4414.474609375,90,232720.0,214427.2,234208.0,228253.86666666667,7681.151673948526,206016.0,234208.0,90,1.0,1.0,1.0,0.9333333333333333,0.25084128112136317,0.0,1.0,90,9.0,9.0,9.0,8.933333333333334,0.25084128112136317,8.0,9.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,9.0,9.0,9.0,8.933333333333334,0.25084128112136317,8.0,9.0,90,64.563106796117,64.563106796117,64.563106796117,64.563106796117,0.0,64.563106796117,64.563106796117,90,1.8559281427719,1.8559281427719,1.8559281427719,1.8128860715744868,0.1619509242191413,1.2102970748107,1.8559281427719,90,64.563106796117,64.563106796117,64.563106796117,64.563106796117,0.0,64.563106796117,64.563106796117,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,250.0,250.0,250.0,250.0,0.0,250.0,250.0,,,,,,,,
phase1,B_bookshelf,paging,paging,flat,2000,bookshelf_sequential_paging_anim_off,PASS,3,90,0,0,90,119.18950000000001,117.73740000000001,121.2043,119.50006666666665,2.9188580066391294,111.503,131.771,90,30388.468261718503,22751.1813476563,39495.553125000006,30632.1005967882,6279.316721858,20038.1328125,41953.745117188,90,934.74267578125,860.83955078125,993.51806640625,160.82696397568336,3615.541710546928,-21321.639648438,1040.8115234375,90,234144.0,233024.0,235296.0,234154.66666666666,932.7672975939252,233024.0,235296.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,64.563106796117,64.563106796117,64.563106796117,64.563106796117,0.0,64.563106796117,64.563106796117,90,0.64563106796117,0.64563106796117,0.64563106796117,0.64563106796117,0.0,0.64563106796117,0.64563106796117,90,64.563106796117,64.563106796117,64.563106796117,64.563106796117,0.0,64.563106796117,64.563106796117,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,8.0,8.0,8.0,8.0,0.0,8.0,8.0,90,250.0,250.0,250.0,250.0,0.0,250.0,250.0,,,,,,,,
