Phase,Stack,Mode,Profile,Dataset,BookCount,Scenario,Status,ProcessRuns,PassSamples,FailedSamples,UnsupportedSamples,wall_time_ms_count,wall_time_ms_median,wall_time_ms_p10,wall_time_ms_p90,wall_time_ms_mean,wall_time_ms_stdev,wall_time_ms_min,wall_time_ms_max,natural_lua_heap_kb_count,natural_lua_heap_kb_median,natural_lua_heap_kb_p10,natural_lua_heap_kb_p90,natural_lua_heap_kb_mean,natural_lua_heap_kb_stdev,natural_lua_heap_kb_min,natural_lua_heap_kb_max,lua_heap_delta_kb_count,lua_heap_delta_kb_median,lua_heap_delta_kb_p10,lua_heap_delta_kb_p90,lua_heap_delta_kb_mean,lua_heap_delta_kb_stdev,lua_heap_delta_kb_min,lua_heap_delta_kb_max,rss_kb_count,rss_kb_median,rss_kb_p10,rss_kb_p90,rss_kb_mean,rss_kb_stdev,rss_kb_min,rss_kb_max,set_dirty_calls_count,set_dirty_calls_median,set_dirty_calls_p10,set_dirty_calls_p90,set_dirty_calls_mean,set_dirty_calls_stdev,set_dirty_calls_min,set_dirty_calls_max,refresh_count_count,refresh_count_median,refresh_count_p10,refresh_count_p90,refresh_count_mean,refresh_count_stdev,refresh_count_min,refresh_count_max,full_refreshes_count,full_refreshes_median,full_refreshes_p10,full_refreshes_p90,full_refreshes_mean,full_refreshes_stdev,full_refreshes_min,full_refreshes_max,partial_refreshes_count,partial_refreshes_median,partial_refreshes_p10,partial_refreshes_p90,partial_refreshes_mean,partial_refreshes_stdev,partial_refreshes_min,partial_refreshes_max,unique_dirty_pct_count,unique_dirty_pct_median,unique_dirty_pct_p10,unique_dirty_pct_p90,unique_dirty_pct_mean,unique_dirty_pct_stdev,unique_dirty_pct_min,unique_dirty_pct_max,cumulative_dirty_screen_equivalents_count,cumulative_dirty_screen_equivalents_median,cumulative_dirty_screen_equivalents_p10,cumulative_dirty_screen_equivalents_p90,cumulative_dirty_screen_equivalents_mean,cumulative_dirty_screen_equivalents_stdev,cumulative_dirty_screen_equivalents_min,cumulative_dirty_screen_equivalents_max,largest_single_dirty_pct_count,largest_single_dirty_pct_median,largest_single_dirty_pct_p10,largest_single_dirty_pct_p90,largest_single_dirty_pct_mean,largest_single_dirty_pct_stdev,largest_single_dirty_pct_min,largest_single_dirty_pct_max,visible_count_before_count,visible_count_before_median,visible_count_before_p10,visible_count_before_p90,visible_count_before_mean,visible_count_before_stdev,visible_count_before_min,visible_count_before_max,visible_count_after_count,visible_count_after_median,visible_count_after_p10,visible_count_after_p90,visible_count_after_mean,visible_count_after_stdev,visible_count_after_min,visible_count_after_max,total_pages_count,total_pages_median,total_pages_p10,total_pages_p90,total_pages_mean,total_pages_stdev,total_pages_min,total_pages_max,forced_gc_live_heap_kb_count,forced_gc_live_heap_kb_median,forced_gc_live_heap_kb_p10,forced_gc_live_heap_kb_p90,forced_gc_live_heap_kb_mean,forced_gc_live_heap_kb_stdev,forced_gc_live_heap_kb_min,forced_gc_live_heap_kb_max
phase2,R0_stock,paging,paging,real_2692,2692,library_cached_paging,PASS,3,90,0,0,90,16.811,10.419699999999999,23.934600000000007,16.703144444444444,5.318843019754297,8.654,34.623,90,11304.484375,9609.654101562499,12988.5946289067,11408.26618923611,1230.2801503924106,9367.3544921875,15677.3203125,90,507.82958984375,-2464.82763671875,984.2742187500005,101.81555989583333,1312.683574608932,-4029.9384765625,1267.3935546875,90,195088.0,194768.0,198480.0,195592.7111111111,1681.796212350104,192320.0,198512.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,51.0,51.0,51.0,51.0,0.0,51.0,51.0,,,,,,,,
phase2,R0_stock,paging,paging,real_2692,2692,library_sequential_paging,PASS,3,90,0,0,90,14.26,9.4145,21.759200000000007,14.640166666666667,4.439814975520256,8.586,28.518,90,11048.2060546875,9786.817578125,15653.865234375004,12012.245117187476,2311.0928342988454,9289.1240234375,17479.301757812,90,449.01025390625,-1010.81005859375,518.1947265625,24.70404730902778,1480.2630630404074,-7537.658203125,595.5634765625,90,178528.0,177072.0,181553.6,178998.57777777777,1396.0512287192362,177024.0,181632.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90,100.0,100.0,100.0,100.0,0.0,100.0,100.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,10.0,10.0,10.0,10.0,0.0,10.0,10.0,90,51.0,51.0,51.0,51.0,0.0,51.0,51.0,,,,,,,,
phase2,R0_stock,paging,paging,real_2692,2692,paging_probe_step_2_to_3,PASS,3,3,0,0,3,22.516,18.596,22.9,21.042666666666666,2.977269442514958,17.616,22.996,3,9408.0966796875,9356.8466796875,10008.2623046879,9636.811523437667,452.75995537864736,9344.0341796875,10158.303710938,3,-1494.150390625,-1532.9183593750001,-1130.619921875,-1358.8326822916667,277.404915168739,-1542.6103515625,-1039.7373046875,3,191136.0,190457.6,192288.0,191333.33333333334,1156.694139923486,190288.0,192576.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,3,10.0,10.0,10.0,10.0,0.0,10.0,10.0,3,10.0,10.0,10.0,10.0,0.0,10.0,10.0,3,51.0,51.00000000000001,51.0,51.0,0.0,51.0,51.0,,,,,,,,
phase2,R0_stock,real_first_run,startup,real_2692,2692,home_to_library,PASS,1,1,0,0,1,35.909,35.909,35.909,35.909,0.0,35.909,35.909,1,12201.348632812,12201.348632812,12201.348632812,12201.348632812,0.0,12201.348632812,12201.348632812,1,3260.345703125,3260.345703125,3260.345703125,3260.345703125,0.0,3260.345703125,3260.345703125,1,165072.0,165072.0,165072.0,165072.0,0.0,165072.0,165072.0,1,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,100.0,100.0,100.0,0.0,100.0,100.0,1,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,R0_stock,real_first_run,startup,real_2692,2692,library_first_render,PASS,1,1,0,0,1,35.985,35.985,35.985,35.985,0.0,35.985,35.985,1,14746.044921875,14746.044921875,14746.044921875,14746.044921875,0.0,14746.044921875,14746.044921875,1,2535.7978515625,2535.7978515625,2535.7978515625,2535.7978515625,0.0,2535.7978515625,2535.7978515625,1,174016.0,174016.0,174016.0,174016.0,0.0,174016.0,174016.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,100.0,100.0,100.0,0.0,100.0,100.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,R0_stock,real_steady_cold,startup,real_2692,2692,home_to_library,PASS,3,3,0,0,3,31.099,30.867,31.175800000000002,31.034333333333336,0.20096102441352443,30.809,31.195,3,12498.270507812,12496.343945312801,12598.2775390624,12539.137369791666,72.87899409668294,12495.862304688,12623.279296875,3,3296.8203125,3257.3125,3364.09140625,3308.3883463541665,67.48457023260858,3247.435546875,3380.9091796875,3,161280.0,161254.40000000002,172876.80000000002,166101.33333333334,8378.522383650552,161248.0,175776.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,R0_stock,real_steady_cold,startup,real_2692,2692,library_first_render,PASS,3,3,0,0,3,32.426,31.9996,33.050000000000004,32.50833333333333,0.6603607599890645,31.893,33.206,3,15181.2421875,15127.3679687496,15225.7539062504,15177.341145833334,61.58394772329426,15113.899414062,15236.881835938,3,2607.765625,2606.62890625,2664.05078125,2630.744140625,41.036640995550464,2606.3447265625,2678.1220703125,3,170640.0,163203.2,175363.2,169509.33333333334,7662.819672505241,161344.0,176544.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,R0_stock,warm,real,real_2692,2692,change_sort_mode,PASS,1,10,0,0,10,82.86449999999999,62.4984,126.71799999999999,91.5956,28.301670634630582,55.275,138.166,10,31975.520996093503,26762.911132813,37339.08378906301,31871.785839844,5182.157781882057,26613.338867188,41543.409179688,10,4703.41162109375,-10586.061718750001,5017.5998046875,-623.148828125,7609.5702822606645,-14939.2421875,5119.4755859375,10,220768.0,220768.0,221939.19999999998,221939.2,3703.6595955892058,220768.0,232480.0,10,4.0,2.0,7.0,4.2,1.9888578520235063,2.0,7.0,10,4.0,2.0,7.0,4.2,1.9888578520235063,2.0,7.0,10,4.0,2.0,7.0,4.2,1.9888578520235063,2.0,7.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,100.0,100.0,100.0,100.0,0.0,100.0,100.0,10,4.0,2.0,7.0,4.2,1.9888578520235063,2.0,7.0,10,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,R0_stock,warm,real,real_2692,2692,close_book,PASS,1,10,0,0,10,33.239000000000004,28.8072,35.836999999999996,33.2956,4.042609723653494,26.505,41.75,10,29529.454589843503,28732.0389648433,29863.0178710942,29499.862402343802,583.9014067880481,28671.419921875,30751.41015625,10,2446.67529296875,1884.45478515625,2626.7500976562496,2433.79150390625,489.9007062448066,1724.9658203125,3589.6279296875,10,347584.0,347584.0,347584.0,347584.0,0.0,347584.0,347584.0,10,4.0,4.0,4.0,4.0,0.0,4.0,4.0,10,4.0,4.0,4.0,4.0,0.0,4.0,4.0,10,3.0,3.0,3.0,3.0,0.0,3.0,3.0,10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10,100.0,100.0,100.0,100.0,0.0,100.0,100.0,10,3.0983009708738,3.0983009708738,3.0983009708738,3.0983009708738,0.0,3.0983009708738,3.0983009708738,10,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,R0_stock,warm,real,real_2692,2692,close_quick_settings,PASS,1,10,0,0,10,8.38,7.8784,8.6269,8.2819,0.39572112795643255,7.459,8.824,10,34691.373535156,33354.799609375,35900.9571289067,34646.4047851562,1073.485318063375,33053.60546875,36147.939453125,10,80.7509765625,42.82783203125,138.4724609375,84.77392578125,36.958910262010534,35.92578125,141.318359375,10,347584.0,347584.0,347584.0,347584.0,0.0,347584.0,347584.0,10,3.0,3.0,3.0,3.0,0.0,3.0,3.0,10,3.0,3.0,3.0,3.0,0.0,3.0,3.0,10,3.0,3.0,3.0,3.0,0.0,3.0,3.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,100.0,100.0,100.0,100.0,0.0,100.0,100.0,10,3.0,3.0,3.0,3.0,0.0,3.0,3.0,10,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,R0_stock,warm,real,real_2692,2692,home_to_library,PASS,1,10,0,0,10,31.3335,29.5917,45.384299999999996,34.1475,6.986916061865605,28.662,49.014,10,15149.462890625,9246.240039062499,20406.9459960933,15003.267187499901,4127.814073501465,9196.2373046875,20417.666015625,10,2649.5205078125,-11063.963867188,3239.7863281249997,7.898339843649955,5878.361901739381,-11224.663085938,3251.3193359375,10,183424.0,183408.0,183472.0,183433.6,29.405970671125807,183408.0,183472.0,10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,100.0,100.0,100.0,100.0,0.0,100.0,100.0,10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phase2,R0_stock,warm,real,real_2692,2692,library_cached_paging,PASS,1,30,0,0,30,16.3285,14.598499999999998,28.7686,19.2698,6.05013964159164,11.724,32.363,30,11132.437988280999,9796.7119140625,12620.656738281701,11234.874218749967,1168.3434695661451,9689.2568359375,13845.248046875,30,473.46875,-2609.77646484375,972.6806640625001,-25.684244791666668,1416.548973289293,-4035.9404296875,1069.416015625,30,186464.0,183584.0,186464.0,186043.73333333334,983.4823047102377,183584.0,186464.0,30,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,100.0,100.0,100.0,100.0,0.0,100.0,100.0,30,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30,100.0,100.0,100.0,100.0,0.0,100.0,100.0,30,10.0,10.0,10.0,10.0,0.0,10.0,10.0,30,10.0,10.0,10.0,10.0,0.0,10.0,10.0,30,51.0,51.0,51.0,51.0,0.0,51.0,51.0,,,,,,,,
